Source.Name,freq,real,imag
data9.csv,133823.798,30542.57052,-122939.1535
data9.csv,146825.608,27869.75026,-113714.1771
data9.csv,161090.624,25417.59734,-105127.4761
data9.csv,176741.575,23184.45232,-97202.56737
data9.csv,193913.112,21144.35571,-89832.40494
data9.csv,212752.971,19263.75006,-82974.59293
data9.csv,233423.238,17580.27363,-76647.30143
data9.csv,256101.75,16033.22072,-70785.38761
data9.csv,280983.619,14622.09399,-65358.80141
data9.csv,308282.916,13340.63945,-60323.89865
data9.csv,338234.509,12182.91933,-55673.61266
data9.csv,371096.084,11133.8837,-51372.84993
data9.csv,407150.364,10182.24556,-47402.88564
data9.csv,446707.541,9308.199547,-43728.39132
data9.csv,490107.943,8515.788076,-40329.9009
data9.csv,537724.961,7795.897967,-37190.67782
data9.csv,589968.268,7139.070556,-34291.95954
data9.csv,647287.335,6543.710234,-31613.63474
data9.csv,710175.304,6002.267566,-29140.98875
data9.csv,779173.229,5506.443206,-26857.41761
data9.csv,854874.729,5060.258972,-24751.19954
data9.csv,937931.097,4653.651607,-22808.15707
data9.csv,1029056.906,4281.748309,-21016.97187
data9.csv,1129036.151,3943.565211,-19364.71308
data9.csv,1238728.998,3636.333112,-17841.20416
data9.csv,1359079.184,3356.336764,-16434.85136
data9.csv,1491122.135,3112.880343,-15167.59654
data9.csv,1635993.876,2861.374378,-13991.60272
data9.csv,1794940.802,2644.910506,-12872.15197
data9.csv,1969330.406,2456.283647,-11843.51176
data9.csv,2160663.038,2279.546784,-10905.4638
data9.csv,2370584.82,2119.878871,-10048.97294
data9.csv,2600901.801,1968.593037,-9265.572288
data9.csv,2853595.502,1837.447362,-8536.665041
data9.csv,3130839.959,1723.015216,-7867.81505
data9.csv,3435020.431,1610.515222,-7249.615164
data9.csv,3768753.917,1491.504778,-6681.972614
data9.csv,4134911.677,1390.724161,-6165.372807
data9.csv,4536643.927,1308.386141,-5687.826291
data9.csv,4977406.952,1225.433105,-5252.199312
data9.csv,5460992.831,1094.361296,-4873.253429
data9.csv,5991562.07,1020.565443,-4498.683241
data9.csv,6573679.393,953.8669751,-4153.863829
data9.csv,7212353.016,888.5686059,-3837.894076
data9.csv,7913077.732,827.9868884,-3545.587859
data9.csv,8681882.189,774.7022654,-3275.775457
data9.csv,9525380.756,722.7620871,-3029.363396
data9.csv,10450830.43,674.4254024,-2803.493281
data9.csv,11466193.26,628.130981,-2594.769187
data9.csv,12580204.87,584.6083376,-2401.469201
data9.csv,13802449.61,542.9524907,-2223.920549
data9.csv,15143442.98,504.227957,-2061.932177
data9.csv,16614722.15,466.991983,-1911.551836
data9.csv,18228945.2,430.1311763,-1772.6313
data9.csv,20000000,395.8676167,-1645.281187
data10.csv,20,32869383.57,-44844736.05
data10.csv,21.943,28890079.18,-44806087.52
data10.csv,24.075,28053720.57,-43229068.91
data10.csv,26.414,26059550.7,-38755187.7
data10.csv,28.98,24183156.18,-37382841.22
data10.csv,31.796,22698250.45,-35844424.82
data10.csv,34.885,21780248.01,-33130361.24
data10.csv,38.274,19678712.33,-30540215.17
data10.csv,41.993,19251643.72,-28721264.86
data10.csv,46.073,19272027.51,-28194328.09
data10.csv,50.549,17388503.4,-25755078.36
data10.csv,55.46,17333018.81,-24701219.33
data10.csv,60.849,15622005.62,-22856717.49
data10.csv,66.761,15585178.63,-21999432.42
data10.csv,73.247,15451018.86,-20783782.71
data10.csv,80.363,13500754.51,-19978218.96
data10.csv,88.171,13650569.47,-18252908.22
data10.csv,96.737,12815328.02,-17259152.14
data10.csv,106.136,12589802.94,-16131115.38
data10.csv,116.448,11614519.86,-15554637.53
data10.csv,127.761,11328900.91,-14323334.09
data10.csv,140.174,10401740.48,-13729578.27
data10.csv,153.793,9767360.641,-12888687.61
data10.csv,168.735,9356357.227,-12011043.79
data10.csv,185.128,9016262.795,-11620786.42
data10.csv,203.115,8326534.815,-10928588.68
data10.csv,222.849,8199391.83,-10320293.78
data10.csv,244.5,7779774.421,-9986158.43
data10.csv,268.254,7427327.39,-9370847.273
data10.csv,294.317,7038284.35,-8909266.45
data10.csv,322.912,6872627.786,-8477456.327
data10.csv,354.284,6430702.502,-8166959.211
data10.csv,388.705,6018954.849,-7672562.087
data10.csv,426.471,5842243.742,-7381845.829
data10.csv,467.905,5512771.524,-7065520.069
data10.csv,513.365,5188789.256,-6710432.496
data10.csv,563.241,4798738.971,-6436338.055
data10.csv,617.964,4550753.971,-6136762.723
data10.csv,678.003,4265816.197,-5898534.965
data10.csv,743.875,3941443.273,-5626509.368
data10.csv,816.147,3781416.502,-5364653.414
data10.csv,895.44,3473312.79,-5160202.071
data10.csv,982.438,3267253.369,-4891453.355
data10.csv,1077.888,3051277.248,-4690344.047
data10.csv,1182.611,2888805.819,-4501991.676
data10.csv,1297.509,2633071.461,-4279113.022
data10.csv,1423.571,2391626.306,-4059808.147
data10.csv,1561.879,2202310.329,-3841518.008
data10.csv,1713.625,2037341.758,-3641097.253
data10.csv,1880.115,1885764.074,-3437143.803
data10.csv,2062.78,1718481.591,-3257510.824
data10.csv,2263.191,1563801.869,-3076865.134
data10.csv,2483.074,1422651.028,-2905798.481
data10.csv,2724.32,1293116.774,-2735548.391
data10.csv,2989.005,1170590.912,-2565790.116
data10.csv,3279.405,1064429.994,-2400623.294
data10.csv,3598.02,966591.9348,-2244203.95
data10.csv,3947.59,878998.2072,-2097166.771
data10.csv,4331.122,795226.7475,-1955333.005
data10.csv,4751.918,719222.4754,-1830226.119
data10.csv,5213.596,650763.4773,-1707592.814
data10.csv,5720.129,591607.7853,-1588619.001
data10.csv,6275.875,538178.6633,-1474170.667
data10.csv,6885.615,489159.14,-1371291.454
data10.csv,7554.595,444833.4972,-1275266.498
data10.csv,8288.571,405523.0758,-1185263.578
data10.csv,9093.857,370677.8541,-1099259.143
data10.csv,9977.381,339651.2453,-1020619.549
data10.csv,10946.746,311689.5258,-947365.2427
data10.csv,12010.29,285135.5133,-879272.7385
data10.csv,13177.164,260916.273,-815142.097
data10.csv,14457.407,239919.9663,-756230.0468
data10.csv,15862.033,220981.272,-700935.4349
data10.csv,17403.128,202916.9619,-650415.0111
data10.csv,19093.949,186976.789,-603869.6776
data10.csv,20949.045,172133.1501,-559933.0445
data10.csv,22984.374,158265.3252,-520003.694
data10.csv,25217.448,145954.7793,-482371.0553
data10.csv,27667.479,134232.1576,-447613.7029
data10.csv,30355.546,123402.2732,-415344.0656
data10.csv,33304.775,113651.4576,-385443.1761
data10.csv,36540.54,104346.6864,-357568.5133
data10.csv,40090.68,95770.87957,-331621.8356
data10.csv,43985.737,87833.93375,-307762.82
data10.csv,48259.224,80667.97181,-285483.9459
data10.csv,52947.906,73913.35986,-264668.8767
data10.csv,58092.122,67701.46805,-245312.8095
data10.csv,63736.132,62002.45874,-227377.4419
data10.csv,69928.491,56701.87188,-210784.2679
data10.csv,76722.477,51878.82951,-195310.8424
data10.csv,84176.54,47391.23917,-180885.6567
data10.csv,92354.811,43345.92264,-167476.3455
data10.csv,101327.653,39570.36942,-155036.3281
data10.csv,111172.261,36086.63169,-143480.8431
data10.csv,121973.334,32953.32865,-132753.9713
data10.csv,133823.798,30059.89902,-122829.7911
data10.csv,146825.608,27434.20767,-113599.1233
data10.csv,161090.624,25042.53343,-104988.7001
data10.csv,176741.575,22843.21243,-97060.23149
data10.csv,193913.112,20841.32366,-89689.6706
data10.csv,212752.971,18996.10772,-82827.9498
data10.csv,233423.238,17340.51099,-76501.38658
data10.csv,256101.75,15819.55381,-70640.89397
data10.csv,280983.619,14429.36618,-65216.38546
data10.csv,308282.916,13168.81788,-60183.68898
data10.csv,338234.509,12028.20748,-55536.72283
data10.csv,371096.084,10996.23234,-51240.72173
data10.csv,407150.364,10058.06487,-47277.42007
data10.csv,446707.541,9197.234669,-43606.36148
data10.csv,490107.943,8415.235944,-40214.10606
data10.csv,537724.961,7704.562053,-37079.27301
data10.csv,589968.268,7058.710913,-34185.68822
data10.csv,647287.335,6469.985507,-31513.25687
data10.csv,710175.304,5934.808195,-29045.20917
data10.csv,779173.229,5447.065316,-26767.04599
data10.csv,854874.729,5007.198124,-24666.77347
data10.csv,937931.097,4605.126066,-22728.50831
data10.csv,1029056.906,4238.515104,-20941.26334
data10.csv,1129036.151,3904.392559,-19293.83603
data10.csv,1238728.998,3600.565066,-17775.06323
data10.csv,1359079.184,3324.192931,-16373.56075
data10.csv,1491122.135,3089.614086,-15121.27474
data10.csv,1635993.876,2833.196528,-13937.16834
data10.csv,1794940.802,2622.927373,-12815.02728
data10.csv,1969330.406,2440.821194,-11787.20221
data10.csv,2160663.038,2260.542858,-10857.89658
data10.csv,2370584.82,2098.719364,-10007.44538
data10.csv,2600901.801,1951.074,-9226.754682
data10.csv,2853595.502,1819.154134,-8500.684594
data10.csv,3130839.959,1707.818704,-7830.918652
data10.csv,3435020.431,1599.365057,-7219.425565
